album,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Dark Lane Demo Tapes,5TCBWmEBrin7etRa4Lswr1,When To Say When,spotify:track:5TCBWmEBrin7etRa4Lswr1,0.252,0.41,0.82,0.0,0.5379999999999999,-6.808,0.5329999999999999,170.718,0.526,62.0,Drake
Care Package,6MR5IBSNfDmiwnrlQpVw4w,Club Paradise,spotify:track:6MR5IBSNfDmiwnrlQpVw4w,0.758,0.33799999999999997,0.7290000000000001,3.24e-05,0.18,-6.419,0.102,184.174,0.5429999999999999,53.0,Drake
So Far Gone,5hKi8LHc2GF5v9TSsvgZaf,Outro (feat. Chilly Gonzales),spotify:track:5hKi8LHc2GF5v9TSsvgZaf,0.9890000000000001,0.39299999999999996,0.0878,0.856,0.316,-21.628,0.053,185.562,0.122,11.0,Drake
V,2bL2gyO6kBdLkNSkxXNh6x,Animals,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,0.000185,0.27899999999999997,0.742,0.0,0.593,-6.46,0.0898,189.868,0.32799999999999996,80.0,Wiz Khalifa
Under Pressure (Deluxe),4OMKQBq51PnjZz042AghkR,Growing Pains III,spotify:track:4OMKQBq51PnjZz042AghkR,0.474,0.514,0.73,0.0,0.511,-8.491,0.387,167.655,0.6990000000000001,49.0,Logic
MMXX,2zbpE9Z2vYjKe9fqHtS2bf,MMXX – XI,spotify:track:2zbpE9Z2vYjKe9fqHtS2bf,0.895,0.387,0.5670000000000001,0.9420000000000001,0.325,-13.860999999999999,0.0494,192.16,0.0617,19.0,Diplo
MANIA,4lN5YgMQNBANIKWSl6G54k,Heaven’s Gate,spotify:track:4lN5YgMQNBANIKWSl6G54k,0.0166,0.39799999999999996,0.586,0.0,0.33399999999999996,-4.975,0.0344,176.043,0.214,50.0,Fall Out Boy
**** Live In Phoenix,525Wc5pBnvEZmfr1mXWv4R,Thriller - Live At The Cricket Pavillion /2007,spotify:track:525Wc5pBnvEZmfr1mXWv4R,0.115,0.145,0.985,0.0555,0.348,-5.0280000000000005,0.541,184.891,0.0609,20.0,Fall Out Boy
Live In Phoenix,79EH9bYjaTvmsE1H2TFIcL,Thriller,spotify:track:79EH9bYjaTvmsE1H2TFIcL,0.0977,0.14400000000000002,0.9840000000000001,0.0389,0.36,-5.043,0.5589999999999999,184.845,0.062,21.0,Fall Out Boy
Revenge Of The Dreamers III,1KbCc89SxYma4BnBChkJBs,"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",spotify:track:1KbCc89SxYma4BnBChkJBs,0.529,0.525,0.725,0.0,0.598,-5.318,0.629,175.63,0.693,58.0,21 Savage
2014 Forest Hills Drive,4Tjh34RS4ACZ6f6srlDBg8,Fire Squad,spotify:track:4Tjh34RS4ACZ6f6srlDBg8,0.28,0.516,0.738,0.0,0.621,-7.209,0.414,175.42700000000005,0.599,67.0,21 Savage
The Come Up,2QSFayXKhKO6Gqop3ol7u2,School Daze,spotify:track:2QSFayXKhKO6Gqop3ol7u2,0.11900000000000001,0.3720000000000001,0.721,0.0,0.3670000000000001,-11.804,0.386,167.88299999999995,0.636,32.0,21 Savage
Black Thoughts Vol. 2,5QltYfgFkvOIYnhkmNxZjY,Storm (feat. Stefano Moses),spotify:track:5QltYfgFkvOIYnhkmNxZjY,0.0157,0.45299999999999996,0.78,0.0,0.475,-5.875,0.094,202.023,0.315,17.0,Tyga
FANTASÍA,0c8JmuKzaREJu3kUqoBfmo,Elena,spotify:track:0c8JmuKzaREJu3kUqoBfmo,0.302,0.414,0.44,0.0,0.322,-8.705,0.26,171.873,0.478,53.0,Sebastian Yatra
MANTRA,0CXEPVeQDLgDBfvcsQpXq1,Como Mirarte,spotify:track:0CXEPVeQDLgDBfvcsQpXq1,0.7090000000000001,0.34700000000000003,0.354,0.0,0.31,-7.3210000000000015,0.0343,172.983,0.207,69.0,Sebastian Yatra
Where the Light Is: John Mayer Live In Los Angeles,4LloVtxNZpeh7q7xdi1DQc,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",spotify:track:4LloVtxNZpeh7q7xdi1DQc,0.7709999999999999,0.315,0.29600000000000004,0.0,0.7020000000000001,-13.262,0.0315,173.50900000000001,0.435,73.0,John Mayer
Where the Light Is: John Mayer Live In Los Angeles,15Ev5G9uLhXqjBH4t16GQq,"The Heart of Life - Live at the Nokia Theatre, Los Angeles, CA - December 2007",spotify:track:15Ev5G9uLhXqjBH4t16GQq,0.7759999999999999,0.258,0.387,0.00010800000000000001,0.703,-12.562999999999999,0.0367,180.805,0.33,48.0,John Mayer
As/Is - Live,6yzty3y4JAzaDB9GR26Wu7,"Comfortable - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",spotify:track:6yzty3y4JAzaDB9GR26Wu7,0.6709999999999999,0.282,0.354,2.2800000000000002e-05,0.67,-10.05,0.0315,171.081,0.293,27.0,John Mayer
"As/Is: Live In Mountain View, CA - 7/16/04",6FlByTWooCUp5sC75ejZhF,"Comfortable - Acoustic - Live at Shoreline Amphitheater, Mountain View, CA, July 16, 2004",spotify:track:6FlByTWooCUp5sC75ejZhF,0.81,0.256,0.374,0.0,0.8,-11.613,0.0437,179.44799999999995,0.298,23.0,John Mayer
Any Given Thursday,4zmaLdhEGKtsbHmnF0BmZX,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",spotify:track:4zmaLdhEGKtsbHmnF0BmZX,0.507,0.205,0.455,7.2e-05,0.743,-11.298,0.039,181.957,0.27699999999999997,31.0,John Mayer
S&M2,5jMMdrSIAGueAxfeI1AG5K,Intro To Scythian Suite - Live,spotify:track:5jMMdrSIAGueAxfeI1AG5K,0.769,0.414,0.5579999999999999,0.0,0.736,-16.717,0.782,168.483,0.166,38.0,Metallica
S&M2,1ow4pOwIbrWbjbEXSYmRkb,Intro to Scythian Suite (Live),spotify:track:1ow4pOwIbrWbjbEXSYmRkb,0.769,0.414,0.5579999999999999,0.0,0.736,-16.717,0.782,168.483,0.166,29.0,Metallica
Live In Brazil (1993 – 2017),3Pj6JshAvbzZeg1xdidsGA,"Hardwired - Live In São Paulo, Brazil - March 25th, 2017",spotify:track:3Pj6JshAvbzZeg1xdidsGA,3.5700000000000014e-05,0.125,0.992,0.00207,0.425,-7.485,0.166,186.76,0.0367,42.0,Metallica
Hardwired…To Self-Destruct (Deluxe),0QV3swr7L8MZr72lL2izV1,Hardwired,spotify:track:0QV3swr7L8MZr72lL2izV1,1.11e-05,0.128,0.991,0.0036200000000000004,0.21899999999999997,-3.2889999999999997,0.0582,186.12400000000002,0.53,62.0,Metallica
Lulu,2L0YIc1p5sFVVbDb6xSiJk,Mistress Dread,spotify:track:2L0YIc1p5sFVVbDb6xSiJk,0.000256,0.153,0.9790000000000001,0.00591,0.222,-4.6110000000000015,0.179,207.012,0.0472,21.0,Metallica
