album,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Dark Lane Demo Tapes,3IvMYBE7A3c7to1aEcfFJk,Deep Pockets,spotify:track:3IvMYBE7A3c7to1aEcfFJk,0.48200000000000004,0.473,0.8240000000000001,0.0,0.605,-3.68,0.163,77.888,0.374,60.0,Drake
Dark Lane Demo Tapes,6fLVTVaHWaEfVKfEgbkf4D,Losses,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,0.28,0.551,0.57,0.0,0.424,-7.385,0.35100000000000003,85.68700000000003,0.505,58.0,Drake
Scorpion,6DCZcSspjsKoFjzjrWoCdn,God's Plan,spotify:track:6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,0.449,8.290000000000001e-05,0.552,-9.211,0.109,77.169,0.35700000000000004,83.0,Drake
More Life,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,spotify:track:6CfrYuD3YRDYdYvH9jNtXY,0.0671,0.9129999999999999,0.608,0.0,0.5329999999999999,-6.8389999999999995,0.23399999999999999,97.06299999999999,0.578,60.0,Drake
More Life,2Na0z2gfN67Rzf0vp74Wi3,Lose You,spotify:track:2Na0z2gfN67Rzf0vp74Wi3,0.6990000000000001,0.526,0.583,0.0,0.3720000000000001,-9.172,0.376,89.837,0.37799999999999995,58.0,Drake
Views,7sBwAWyXfiIgrYQ8BaJESH,Keep The Family Close,spotify:track:7sBwAWyXfiIgrYQ8BaJESH,0.149,0.37799999999999995,0.5660000000000001,0.0,0.382,-7.685,0.0482,87.691,0.196,59.0,Drake
Nothing Was The Same (Deluxe),3eN46sMTppXYMAyWi37wn1,Come Thru,spotify:track:3eN46sMTppXYMAyWi37wn1,0.159,0.5579999999999999,0.46799999999999997,0.0,0.586,-5.812,0.17300000000000001,81.977,0.405,59.0,Drake
V,5uVji14OWpj9HMKLXdhjAv,This Summer,spotify:track:5uVji14OWpj9HMKLXdhjAv,0.000248,0.54,0.7659999999999999,0.0,0.6409999999999999,-5.148,0.07,98.932,0.17600000000000002,59.0,Wiz Khalifa
Gangsta Bitch Music Vol. 2,1k3xls4mMxRv5do5nkun3S,Leave That Bitch Alone (Skit) (feat. Justvlad),spotify:track:1k3xls4mMxRv5do5nkun3S,0.623,0.685,0.32899999999999996,0.0,0.385,-10.158999999999999,0.875,86.993,0.698,31.0,Cardi B
Gangsta Bitch Music Vol 1,4GDhJN2w2fLMovXBvjWywV,Washpoppin,spotify:track:4GDhJN2w2fLMovXBvjWywV,0.0767,0.562,0.637,0.0,0.616,-9.655,0.386,111.814,0.645,48.0,Cardi B
Gangsta Bitch Music Vol 1,5JqaLICCQlGGbi9oQphhf2,Her Perspective (Skit),spotify:track:5JqaLICCQlGGbi9oQphhf2,0.23800000000000002,0.7659999999999999,0.331,0.0,0.604,-20.113,0.9470000000000001,67.281,0.29100000000000004,32.0,Cardi B
Gangsta Bitch Music Vol 1,65E62IKAS6cnO46fpkDhx1,Outro (Skit) (feat. Lisa Evers),spotify:track:65E62IKAS6cnO46fpkDhx1,0.501,0.684,0.256,0.0,0.381,-19.406,0.956,99.76299999999999,0.9059999999999999,28.0,Cardi B
Libertad 548,5IUC0MrNR1rcjVQD7iVJ73,Ocupado,spotify:track:5IUC0MrNR1rcjVQD7iVJ73,0.0818,0.879,0.716,1.37e-06,0.693,-3.247,0.348,111.09,0.6890000000000001,34.0,Pitbull
Dale,52t6MJCewRtvqaMVl2BssH,Chi Chi Bon Bon,spotify:track:52t6MJCewRtvqaMVl2BssH,0.009009999999999999,0.863,0.6709999999999999,1.69e-06,0.518,-7.577000000000001,0.11800000000000001,101.008,0.5660000000000001,31.0,Pitbull
No Pressure,2Wf2u3sZ8rR1sdiBuSbeR0,DadBod,spotify:track:2Wf2u3sZ8rR1sdiBuSbeR0,0.71,0.81,0.708,0.0,0.557,-4.657,0.32799999999999996,92.272,0.722,60.0,Logic
No Pressure,6K2WirQZkriGBTliRuL7Y7,Obediently Yours,spotify:track:6K2WirQZkriGBTliRuL7Y7,0.917,0.561,0.905,0.0174,0.573,-4.606,0.27399999999999997,85.258,0.87,51.0,Logic
