album,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Scorpion,09lmraDvzBT3pUQ2rUtJzK,March 14,spotify:track:09lmraDvzBT3pUQ2rUtJzK,0.405,0.5579999999999999,0.414,0.0,0.36,-7.355,0.358,127.094,0.318,55.0,Drake
More Life,05KOgYg8PGeJyyWBPi5ja8,Free Smoke,spotify:track:05KOgYg8PGeJyyWBPi5ja8,0.0681,0.736,0.491,0.0,0.5710000000000001,-6.892,0.439,141.97899999999996,0.203,64.0,Drake
More Life,76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,spotify:track:76gUmNLXGQVOsGhfcshkFP,0.245,0.8390000000000001,0.521,0.00545,0.607,-10.45,0.166,105.992,0.33,64.0,Drake
More Life,6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,spotify:track:6MbH1QiphMCPTqVEVC7UYi,0.332,0.7659999999999999,0.23399999999999999,0.00156,0.358,-7.544,0.159,96.882,0.256,59.0,Drake
More Life,28irpKCCK9nn9DZSik2zEx,Glow,spotify:track:28irpKCCK9nn9DZSik2zEx,0.2,0.688,0.384,0.0,0.708,-8.824,0.375,162.09799999999996,0.4320000000000001,56.0,Drake
More Life,5JUu0unA8VwhTZ9LkMWUVI,Since Way Back,spotify:track:5JUu0unA8VwhTZ9LkMWUVI,0.348,0.46799999999999997,0.266,9.55e-06,0.209,-11.120999999999999,0.13,153.29399999999995,0.222,58.0,Drake
Views,433P7tDcIAi6NLnf4Sh6tI,Still Here,spotify:track:433P7tDcIAi6NLnf4Sh6tI,0.0258,0.8340000000000001,0.433,0.0,0.633,-9.607000000000001,0.174,133.938,0.22899999999999998,67.0,Drake
If You're Reading This It's Too Late,79XrkTOfV1AqySNjVlygpW,Energy,spotify:track:79XrkTOfV1AqySNjVlygpW,0.38,0.747,0.5710000000000001,0.0,0.534,-7.916,0.478,172.104,0.5529999999999999,71.0,Drake
If You're Reading This It's Too Late,6oLHyWvmk6bKrA91EIYZBp,Wednesday Night Interlude,spotify:track:6oLHyWvmk6bKrA91EIYZBp,0.7290000000000001,0.312,0.466,7.34e-06,0.215,-8.163,0.0509,135.44,0.195,57.0,Drake
Nothing Was The Same (Deluxe),3EJ9ZuqkL1kwgouugqsLu8,Own It,spotify:track:3EJ9ZuqkL1kwgouugqsLu8,0.0437,0.652,0.345,3.59e-05,0.297,-11.319,0.11900000000000001,103.281,0.304,53.0,Drake
Red Pill Blues (Deluxe),4ecm1JG8qK8RlB6fsMlu8I,Payphone - Live In Manchester,spotify:track:4ecm1JG8qK8RlB6fsMlu8I,0.0843,0.503,0.7440000000000001,0.0,0.723,-5.07,0.0374,110.027,0.126,14.0,Wiz Khalifa
Red Pill Blues (Deluxe),6gHOuLzy1E9QbV0B7Z4iI9,Daylight - Live In Manchester,spotify:track:6gHOuLzy1E9QbV0B7Z4iI9,0.0162,0.456,0.696,3.65e-06,0.9179999999999999,-4.756,0.0398,115.98299999999999,0.271,37.0,Wiz Khalifa
Gangsta Bitch Music Vol 1,0n6qoCWeQuMfSVDDOF1RSE,Intro (Skit) (feat. The Breakfast Club),spotify:track:0n6qoCWeQuMfSVDDOF1RSE,0.888,0.71,0.16,0.0,0.426,-17.373,0.955,128.80700000000002,0.873,29.0,Cardi B
Gotti (Original Motion Picture Soundtrack),1hkWjoLsahC5HuTyn5J5iT,Father & Son,spotify:track:1hkWjoLsahC5HuTyn5J5iT,0.956,0.257,0.142,0.5870000000000001,0.188,-13.982999999999999,0.0426,119.055,0.0394,23.0,Pitbull
Gotti (Original Motion Picture Soundtrack),00939AtloLku4VBWYNqY8x,Still Here,spotify:track:00939AtloLku4VBWYNqY8x,0.9359999999999999,0.195,0.0217,0.8140000000000001,0.262,-16.572,0.0458,131.22299999999998,0.0547,17.0,Pitbull
Gotti (Original Motion Picture Soundtrack),0sG7AlnXkcyKdwt7d2EFgf,The Trial,spotify:track:0sG7AlnXkcyKdwt7d2EFgf,0.728,0.57,0.28800000000000003,0.905,0.251,-12.583,0.0374,116.04299999999999,0.139,15.0,Pitbull
Global Warming,4TWgcICXXfGty8MHGWJ4Ne,International Love (feat. Chris Brown) - Jump Smokers Extended Mix,spotify:track:4TWgcICXXfGty8MHGWJ4Ne,0.0661,0.741,0.635,2.64e-06,0.609,-4.7989999999999995,0.0675,127.04,0.621,28.0,Pitbull
